sequence_index,first_chamber_filling,block_idx,fcst_origin
1970-01-01 00:00:00.000000191,75.0463,96,18
1970-01-01 00:00:00.000000192,75.912415,96,19
1970-01-01 00:00:00.000000193,75.44656,96,20
1970-01-01 00:00:00.000000194,74.632515,96,21
1970-01-01 00:00:00.000000195,73.60532,96,22
1970-01-01 00:00:00.000000196,72.2386,96,23
1970-01-01 00:00:00.000000197,72.14024,96,24
1970-01-01 00:00:00.000000198,73.543594,96,25
1970-01-01 00:00:00.000000199,74.167625,96,26
1970-01-01 00:00:00.000000200,74.19656,96,27
1970-01-01 00:00:00.000000201,73.84549,96,28
1970-01-01 00:00:00.000000202,72.85397,96,29
1970-01-01 00:00:00.000000203,70.37905,96,30
1970-01-01 00:00:00.000000079,100.0,98,10
1970-01-01 00:00:00.000000080,100.0,98,11
1970-01-01 00:00:00.000000081,100.0,98,12
1970-01-01 00:00:00.000000096,100.0,99,10
1970-01-01 00:00:00.000000097,100.0,99,11
1970-01-01 00:00:00.000000098,100.0,99,12
1970-01-01 00:00:00.000000099,100.0,99,13
1970-01-01 00:00:00.000000100,100.0,99,14
1970-01-01 00:00:00.000000101,100.0,99,15
1970-01-01 00:00:00.000000340,83.104744,100,10
1970-01-01 00:00:00.000000341,82.29456,100,11
1970-01-01 00:00:00.000000342,81.82389,100,12
1970-01-01 00:00:00.000000343,81.17477,100,13
1970-01-01 00:00:00.000000344,80.81597,100,14
1970-01-01 00:00:00.000000345,80.56423,100,15
1970-01-01 00:00:00.000000346,79.44733,100,16
1970-01-01 00:00:00.000000347,77.99093,100,17
1970-01-01 00:00:00.000000348,76.37731,100,18
1970-01-01 00:00:00.000000349,76.36187,100,19
1970-01-01 00:00:00.000000350,76.3638,100,20
1970-01-01 00:00:00.000000351,75.88541,100,21
1970-01-01 00:00:00.000000352,75.35784,100,22
1970-01-01 00:00:00.000000353,74.72223,100,23
1970-01-01 00:00:00.000000354,74.41648,100,24
1970-01-01 00:00:00.000000355,73.84934,100,25
1970-01-01 00:00:00.000000356,75.16879,100,26
1970-01-01 00:00:00.000000357,73.68828,100,27
1970-01-01 00:00:00.000000358,73.20215,100,28
1970-01-01 00:00:00.000000359,72.18942,100,29
1970-01-01 00:00:00.000000360,71.820015,100,30
1970-01-01 00:00:00.000000361,71.68499,100,31
1970-01-01 00:00:00.000000362,72.15663,100,32
1970-01-01 00:00:00.000000363,72.61574,100,33
1970-01-01 00:00:00.000000364,72.92921,100,34
1970-01-01 00:00:00.000000365,72.68325,100,35
1970-01-01 00:00:00.000000366,72.30902,100,36
1970-01-01 00:00:00.000000367,71.977234,100,37
1970-01-01 00:00:00.000000368,71.6734,100,38
1970-01-01 00:00:00.000000369,71.859566,100,39
1970-01-01 00:00:00.000000370,71.98399,100,40
1970-01-01 00:00:00.000000371,71.47183,100,41
1970-01-01 00:00:00.000000372,71.57793,100,42
1970-01-01 00:00:00.000000373,72.38041,100,43
1970-01-01 00:00:00.000000374,71.71005,100,44
1970-01-01 00:00:00.000000375,71.09472,100,45
1970-01-01 00:00:00.000000376,70.59221,100,46
1970-01-01 00:00:00.000000377,69.72028,100,47
1970-01-01 00:00:00.000000378,68.64873,100,48
1970-01-01 00:00:00.000000379,66.701385,100,49
1970-01-01 00:00:00.000000380,66.51909,100,50
1970-01-01 00:00:00.000000381,66.83546,100,51
1970-01-01 00:00:00.000000382,99.456985,100,52
1970-01-01 00:00:00.000000383,100.0,100,53
1970-01-01 00:00:00.000000384,100.0,100,54
1970-01-01 00:00:00.000000385,100.0,100,55
1970-01-01 00:00:00.000000386,100.0,100,56
1970-01-01 00:00:00.000000387,100.0,100,57
1970-01-01 00:00:00.000000388,100.0,100,58
1970-01-01 00:00:00.000000142,83.916855,101,10
1970-01-01 00:00:00.000000143,84.728,101,11
1970-01-01 00:00:00.000000144,85.71371,101,12
1970-01-01 00:00:00.000000145,86.37731,101,13
1970-01-01 00:00:00.000000146,87.28878,101,14
1970-01-01 00:00:00.000000147,87.95718,101,15
1970-01-01 00:00:00.000000148,88.47416,101,16
1970-01-01 00:00:00.000000149,89.59395,101,17
1970-01-01 00:00:00.000000150,89.96241,101,18
1970-01-01 00:00:00.000000151,90.023155,101,19
1970-01-01 00:00:00.000000152,90.121544,101,20
1970-01-01 00:00:00.000000153,90.4996,101,21
1970-01-01 00:00:00.000000154,90.33371,101,22
1970-01-01 00:00:00.000000155,89.630875,101,23
1970-01-01 00:00:00.000000187,79.45794,103,10
1970-01-01 00:00:00.000000188,79.37884,103,11
1970-01-01 00:00:00.000000189,79.56886,103,12
1970-01-01 00:00:00.000000190,79.81964,103,13
1970-01-01 00:00:00.000000191,79.98941,103,14
1970-01-01 00:00:00.000000192,80.00676,103,15
1970-01-01 00:00:00.000000193,80.9211,103,16
1970-01-01 00:00:00.000000194,80.71855,103,17
1970-01-01 00:00:00.000000195,81.030075,103,18
1970-01-01 00:00:00.000000196,81.24517,103,19
1970-01-01 00:00:00.000000197,81.26351,103,20
1970-01-01 00:00:00.000000198,81.57696,103,21
1970-01-01 00:00:00.000000199,82.085266,103,22
1970-01-01 00:00:00.000000200,82.97069,103,23
1970-01-01 00:00:00.000000201,82.88099,103,24
1970-01-01 00:00:00.000000202,82.6466,103,25
1970-01-01 00:00:00.000000203,82.95428,103,26
1970-01-01 00:00:00.000000204,83.238815,103,27
1970-01-01 00:00:00.000000205,83.04012,103,28
1970-01-01 00:00:00.000000206,82.571365,103,29
1970-01-01 00:00:00.000000207,82.5077,103,30
1970-01-01 00:00:00.000000208,82.893524,103,31
1970-01-01 00:00:00.000000080,100.0,104,10
1970-01-01 00:00:00.000000081,100.0,104,11
1970-01-01 00:00:00.000000082,100.0,104,12
1970-01-01 00:00:00.000000190,93.174194,105,10
1970-01-01 00:00:00.000000191,93.85321,105,11
1970-01-01 00:00:00.000000192,93.18288,105,12
1970-01-01 00:00:00.000000193,95.04051,105,13
1970-01-01 00:00:00.000000194,93.87251,105,14
1970-01-01 00:00:00.000000195,94.185,105,15
1970-01-01 00:00:00.000000196,94.360504,105,16
1970-01-01 00:00:00.000000197,94.20428,105,17
1970-01-01 00:00:00.000000198,93.98343,105,18
1970-01-01 00:00:00.000000199,94.0953,105,19
1970-01-01 00:00:00.000000200,94.42806,105,20
1970-01-01 00:00:00.000000201,95.50155,105,21
1970-01-01 00:00:00.000000202,96.03301,105,22
1970-01-01 00:00:00.000000203,96.22781,105,23
1970-01-01 00:00:00.000000204,95.83045,105,24
1970-01-01 00:00:00.000000205,94.73573,105,25
1970-01-01 00:00:00.000000206,93.83295,105,26
1970-01-01 00:00:00.000000207,93.51947,105,27
1970-01-01 00:00:00.000000208,90.87286,105,28
1970-01-01 00:00:00.000000209,90.21702,105,29
1970-01-01 00:00:00.000000210,89.04321,105,30
1970-01-01 00:00:00.000000211,88.8966,105,31
1970-01-01 00:00:00.000000281,78.487656,106,10
1970-01-01 00:00:00.000000282,78.40278,106,11
1970-01-01 00:00:00.000000283,78.33333,106,12
1970-01-01 00:00:00.000000284,78.24942,106,13
1970-01-01 00:00:00.000000285,78.13368,106,14
1970-01-01 00:00:00.000000286,78.3613,106,15
1970-01-01 00:00:00.000000287,78.197334,106,16
1970-01-01 00:00:00.000000288,78.2446,106,17
1970-01-01 00:00:00.000000289,77.99671,106,18
1970-01-01 00:00:00.000000290,77.79897,106,19
1970-01-01 00:00:00.000000291,77.85976,106,20
1970-01-01 00:00:00.000000292,77.638885,106,21
