minute,t_min,phase,return,first_chamber_filling,second_chamber_filling,separator_speed,fresh_feed_setpoint,gran1_blain,return_setpoint,return_error,first_chamber_filling_setpoint,first_chamber_filling_error,second_chamber_filling_setpoint,second_chamber_filling_error,gran1_blain_setpoint,gran1_blain_error,sim_Mm,sim_Mp,sim_Mr,sim_blaine,sim_H1,sim_H2,sim_H,sim_Mr_raw,sim_blaine_raw,mpc_cost,mpc_predicted_error_return,mpc_predicted_error_first_chamber_filling,mpc_predicted_error_second_chamber_filling,mpc_predicted_error_gran1_blain
98,98.0,controlled,147.5092959615792,20.86687411803208,33.636634380959634,205.0,130.0,4023.2666464224994,80.0,67.5092959615792,50.0,-29.13312588196792,50.0,-16.363365619040366,5500.0,-1476.7333535775006,333.00240038065647,129.9987491031148,147.5092959615792,4023.2666464224994,20.86687411803208,33.636634380959634,54.503508498991714,203.00365127754165,4000.2986982721527,0.0,,,,
99,99.0,controlled,147.5093573482495,20.86688184787884,33.636647410922535,205.0,130.0,4023.266410228732,80.0,67.5093573482495,50.0,-29.13311815212116,50.0,-16.363352589077465,5500.0,-1476.7335897712678,333.0025317502744,129.99875970468395,147.5093573482495,4023.266410228732,20.86688184787884,33.636647410922535,54.50352925880138,203.00377204559047,4000.2985147662625,0.0,,,,
100,100.0,controlled,147.50941821463866,20.866889512214268,33.63666033045392,205.0,130.0,4023.266176036832,80.0,67.50941821463866,50.0,-29.133110487785732,50.0,-16.36333966954608,5500.0,-1476.733823963168,333.0026620065043,129.99877021638343,147.50941821463866,4023.266176036832,20.866889512214268,33.63666033045392,54.50354984266819,203.00389179012086,4000.298332815672,0.0,,,,
101,101.0,controlled,147.50947856515756,20.8668971115937,33.63667314048993,205.0,130.0,4023.265943829832,80.0,67.50947856515756,50.0,-29.1331028884063,50.0,-16.363326859510067,5500.0,-1476.734056170168,333.0027911587845,129.99878063897526,147.50947856515756,4023.265943829832,20.8668971115937,33.63667314048993,54.503570252083634,203.00401051980924,4000.298152407199,0.0,,,,
102,102.0,controlled,147.50953840417955,20.866904646567757,33.636685841958766,205.0,130.0,4023.2657135909058,80.0,67.50953840417955,50.0,-29.133095353432243,50.0,-16.363314158041234,5500.0,-1476.7342864090942,333.0029192164733,129.99879097321508,147.50953840417955,4023.2657135909058,20.866904646567757,33.636685841958766,54.50359048852653,203.00412824325815,4000.297973527771,0.0,,,,
103,103.0,controlled,147.5095977360408,20.8669121176824,33.636698435780744,205.0,130.0,4023.2654853033628,80.0,67.5095977360408,50.0,-29.1330878823176,50.0,-16.363301564219256,5500.0,-1476.7345146966372,333.00304618884957,129.99880121985237,147.5095977360408,4023.2654853033628,20.8669121176824,33.636698435780744,54.50361055346315,203.00424496899728,4000.2977961644206,0.0,,,,
104,104.0,controlled,147.50965656504076,20.86691952547895,33.63671092286839,205.0,130.0,4023.265258950667,80.0,67.50965656504076,50.0,-29.13308047452105,50.0,-16.36328907713161,5500.0,-1476.734741049333,333.00317208511365,129.99881137962987,147.50965656504076,4023.265258950667,20.86691952547895,33.63671092286839,54.50363044834734,203.00436070548386,4000.297620304301,0.0,,,,
105,105.0,controlled,147.50971489544247,20.866926870494137,33.63672330412648,205.0,130.0,4023.265034516411,80.0,67.50971489544247,50.0,-29.133073129505863,50.0,-16.363276695873523,5500.0,-1476.734965483589,333.0032969143877,129.9988214532842,147.50971489544247,4023.265034516411,20.866926870494137,33.63672330412648,54.50365017462062,203.00447546110354,4000.297445934665,0.0,,,,
106,106.0,controlled,147.5097727314727,20.866934153260146,33.63673558045212,205.0,130.0,4023.2648119843293,80.0,67.50977273147271,50.0,-29.133065846739854,50.0,-16.363264419547882,5500.0,-1476.7351880156707,333.00342068571666,129.99883144154586,147.5097727314727,4023.2648119843293,20.866934153260146,33.63673558045212,54.503669733712265,203.0045892441708,4000.2972730428755,0.0,,,,
107,107.0,controlled,147.50983007732253,20.866941374304645,33.63674775273481,205.0,130.0,4023.264591338303,80.0,67.50983007732253,50.0,-29.133058625695355,50.0,-16.363252247265187,5500.0,-1476.735408661697,333.0035434080685,129.99884134513883,147.50983007732253,4023.264591338303,20.866941374304645,33.63674775273481,54.50368912703946,203.00470206292968,4000.2971016164097,0.0,,,,
